Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Tecno Spark 10C,4,Unisoc T606,8,16,0,0,0,None,5000,Android 12,Android,-,163.84,75.49,8.5,195,90,6.56,128,Yes,No,No,No,-,yes,15000
Xiaomi Redmi Note 9 Pro 5G,6,Qualcomm Snapdragon 750G,16,108,8,2,2,None,4820,Android 10,Android,2592000,165.38,76.8,9,215,60,6.67,128,Yes,No,No,No,-,Yes,16000
Samsung Galaxy A03,2,Unisoc T606,5,48,2,0,0,None,5000,Android 11,Android,1152000,164.2,75.9,9.1,196,60,6.5,32,Yes,No,No,No,3.5,yes,14549
Poco M3,6,Qualcomm Snapdragon 662,8,48,2,2,0,None,6000,Android 10,Android,2527200,162.3,77.3,9.6,197,60,6.53,64,Yes,No,No,No,3.5,Yes,12299
Poco F1,6,Qualcomm Snapdragon 845,20,12,5,0,0,None,4000,Android 8.1,Android,2425680,155.5,75.2,8.8,182,60,6.18,64,Yes,No,No,No,3.5,Yes,11599
Realme Narzo 50i Prime,3,Unisoc T612,5,8,0,0,0,None,5000,Android 11 (Go edition),Android,1152000,164.1,75.6,8.5,182,60,6.5,32,Yes,No,No,No,3.5,yes,6999
Motorola Moto E32s,3,MediaTek Helio G37,8,16,2,2,0,None,5000,Android 12,Android,1152000,163.95,74.94,8.49,185,90,6.5,32,Yes,No,No,No,3.5,Yes,8499
Samsung Galaxy F12,4,Samsung Exynos 850,16,48,5,2,2,None,6000,Android 11,Android,1152000,164,75.9,9.7,221,90,6.5,64,Yes,No,No,No,3.5,Yes,10699
Samsung Galaxy F13,4,Samsung Exynos 850,8,50,5,2,0,None,6000,Android 12,Android,2600640,165.4,76.9,9.3,207,60,6.6,64,Yes,No,No,No,3.5,Yes,9699
Nokia G21,4,Unisoc T606,8,50,2,2,0,None,5050,Android 11,Android,1152000,164.6,75.9,8.5,190,90,6.5,64,Yes,No,No,No,3.5,Yes,12499
Oppo A15s,4,MediaTek Helio P35 (MT6765),8,13,2,2,0,None,4230,Android 10,Android,-,164,75.4,7.9,177,60,6.52,64,Yes,No,No,No,-,Yes,10489
Realme C15,3,MediaTek Helio G35,8,13,8,2,2,None,6000,Android 10,Android,1152000,164.5,75.9,9.8,209,60,6.5,32,Yes,No,No,No,3.5,Yes,11999
Xiaomi Mi A3,4,Qualcomm Snapdragon 665,32,48,8,2,0,None,4030,Android 9.0,Android,1123200,153.48,71.85,8.5,173.8,60,6.08,64,Yes,No,No,No,3.5,Yes,12999
Samsung Galaxy M13 5G,4,MediaTek Dimensity 700,5,50,2,0,0,None,5000,Android 12,Android,-,164,76.5,8.8,195,90,6.5,64,Yes,No,No,No,-,Yes,10666
Realme C31,3,Unisoc T612,5,13,2,0,0, Monochrome ,5000,Android 11,Android,1152000,164.74,76.19,8.43,197,60,6.52,32,Yes,No,No,No,3.5,Yes,8889
